iter	Logloss
0	0.6676518422
1	0.6452104727
2	0.6253968018
3	0.6095244601
4	0.5939213802
5	0.5802775489
6	0.5651981321
7	0.553405576
8	0.542171157
9	0.5313930685
10	0.5220491049
11	0.5153918256
12	0.5078399109
13	0.4994084802
14	0.4929957091
15	0.4870271201
16	0.4831682459
17	0.477075337
18	0.4715139433
19	0.4661450799
20	0.4614167666
21	0.4578062143
22	0.4528285779
23	0.4492993334
24	0.4459866304
25	0.4426693892
26	0.4392693916
27	0.4361763294
28	0.4338275828
29	0.4310676021
30	0.4278531168
31	0.4241068163
32	0.4211925306
33	0.4182534637
34	0.4157568097
35	0.4135686032
36	0.4113382856
37	0.4097934209
38	0.4077897468
39	0.4055716707
40	0.4037796047
41	0.4013136465
42	0.3998065943
43	0.3977865435
44	0.3959988499
45	0.3936093043
46	0.391285648
47	0.3893708349
48	0.3885410099
49	0.3874335412
50	0.3861724005
51	0.3851982403
52	0.3840865828
53	0.3824707967
54	0.381476652
55	0.3795482514
56	0.377869951
57	0.3761677699
58	0.3738158622
59	0.3726071789
60	0.3721334842
61	0.3709257115
62	0.36931449
63	0.3675491924
64	0.3661815403
65	0.36485938
66	0.3635426325
67	0.3623014059
68	0.3616627243
69	0.3603141395
70	0.3585085929
71	0.3576437491
72	0.3565441478
73	0.3549955931
74	0.3543174199
75	0.3531834551
76	0.3521532037
77	0.3511561762
78	0.3505363281
79	0.3493031164
80	0.348960536
81	0.3477269319
82	0.3467253607
83	0.3455579036
84	0.3443596304
85	0.3434593391
86	0.3424757993
87	0.3417671265
88	0.3409033288
89	0.340343711
90	0.338759832
91	0.3381473628
92	0.3367355297
93	0.3357322014
94	0.3355538185
95	0.3348987205
96	0.3339446718
97	0.3326209688
98	0.3319481829
99	0.331327394
