iter	Passed	Remaining
0	142	14131
1	144	7103
2	147	4765
3	148	3562
4	151	2872
5	153	2400
6	156	2082
7	159	1838
8	161	1635
9	163	1472
10	165	1340
11	167	1225
12	168	1127
13	170	1045
14	170	967
15	172	903
16	172	843
17	173	792
18	174	743
19	175	701
20	176	664
21	177	630
22	179	599
23	180	570
24	181	544
25	182	519
26	183	496
27	184	474
28	185	454
29	186	435
30	187	418
31	188	401
32	189	385
33	191	371
34	192	356
35	193	343
36	194	330
37	195	318
38	196	306
39	197	296
40	198	285
41	199	275
42	200	266
43	201	256
44	202	248
45	204	239
46	205	231
47	206	223
48	207	215
49	208	208
50	209	200
51	210	193
52	211	187
53	212	180
54	213	174
55	214	168
56	216	162
57	217	157
58	218	151
59	219	146
60	220	140
61	221	135
62	222	130
63	223	125
64	224	120
65	225	116
66	226	111
67	227	107
68	228	102
69	229	98
70	230	94
71	232	90
72	233	86
73	234	82
74	235	78
75	236	74
76	236	70
77	237	67
78	238	63
79	239	59
80	241	56
81	241	53
82	242	49
83	244	46
84	245	43
85	246	40
86	247	36
87	248	33
88	249	30
89	250	27
90	251	24
91	252	21
92	253	19
93	254	16
94	255	13
95	256	10
96	257	7
97	258	5
98	259	2
99	260	0
