PassengerId,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked,Survived
1,3,108,1,22.0,1,0,523,7.25,7,3,0
2,1,190,0,38.0,1,0,596,71.2833,2,0,1
3,3,353,0,26.0,0,0,669,7.925,7,3,1
4,1,272,0,35.0,1,0,49,53.1,2,3,1
5,3,15,1,35.0,0,0,472,8.05,7,3,0
6,3,554,1,29.69911764705882,0,0,275,8.4583,7,2,0
7,1,515,1,54.0,0,0,85,51.8625,4,3,0
8,3,624,1,2.0,3,1,395,21.075,7,3,0
9,3,412,0,27.0,0,2,344,11.1333,7,3,1
10,2,576,0,14.0,1,0,132,30.0708,7,0,1
11,3,727,0,4.0,1,1,616,16.7,6,3,1
12,1,95,0,58.0,0,0,38,26.55,2,3,1
13,3,729,1,20.0,0,0,535,8.05,7,3,0
14,3,28,1,39.0,1,5,333,31.275,7,3,0
15,3,840,0,14.0,0,0,413,7.8542,7,3,0
16,2,359,0,55.0,0,0,153,16.0,7,3,1
17,3,682,1,2.0,4,1,480,29.125,7,2,0
18,2,867,1,29.69911764705882,0,0,151,13.0,7,3,1
19,3,839,0,31.0,1,0,301,18.0,7,3,0
20,3,512,0,29.69911764705882,0,0,184,7.225,7,0,1
21,2,273,1,35.0,0,0,139,26.0,7,3,0
22,2,80,1,34.0,0,0,152,13.0,3,3,1
23,3,523,0,15.0,0,0,278,8.0292,7,2,1
24,1,765,1,28.0,0,0,42,35.5,0,3,1
25,3,626,0,8.0,3,1,395,21.075,7,3,0
26,3,44,0,38.0,1,5,329,31.3875,7,3,1
27,3,240,1,29.69911764705882,0,0,179,7.225,7,0,0
28,1,260,1,19.0,3,2,95,263.0,2,3,0
29,3,605,0,29.69911764705882,0,0,283,7.8792,7,2,1
30,3,813,1,29.69911764705882,0,0,362,7.8958,7,3,0
31,1,828,1,40.0,0,0,598,27.7208,7,0,0
32,1,776,0,29.69911764705882,1,0,586,146.5208,1,0,1
33,3,289,0,29.69911764705882,0,0,288,7.75,7,2,1
34,2,856,1,66.0,0,0,549,10.5,7,3,0
35,1,535,1,28.0,1,0,600,82.1708,7,0,0
36,1,372,1,42.0,1,0,43,52.0,7,3,0
37,3,505,1,29.69911764705882,0,0,202,7.2292,7,0,1
38,3,134,1,21.0,0,0,514,8.05,7,3,0
39,3,837,0,18.0,2,0,302,18.0,7,3,0
40,3,589,0,14.0,1,0,186,11.2417,7,0,1
41,3,7,0,40.0,1,0,507,9.475,7,3,0
42,2,827,0,27.0,1,0,53,21.0,7,3,0
43,3,446,1,29.69911764705882,0,0,391,7.8958,7,0,0
44,2,456,0,3.0,1,2,634,41.5792,7,0,1
45,3,212,0,19.0,0,0,282,7.8792,7,2,1
46,3,697,1,29.69911764705882,0,0,617,8.05,7,3,0
47,3,473,1,29.69911764705882,1,0,462,15.5,7,2,0
48,3,604,0,29.69911764705882,0,0,76,7.75,7,2,1
49,3,726,1,29.69911764705882,2,0,190,21.6792,7,0,0
50,3,38,0,18.0,1,0,377,17.8,7,3,0
51,3,629,1,7.0,4,1,249,39.6875,7,3,0
52,3,594,1,21.0,0,0,522,7.8,7,3,0
53,1,333,0,49.0,1,0,587,76.7292,3,0,1
54,2,246,0,29.0,1,0,239,26.0,7,3,1
55,1,620,1,65.0,0,1,29,61.9792,1,0,0
56,1,873,1,29.69911764705882,0,0,94,35.5,2,3,1
57,2,707,0,21.0,0,0,555,10.5,7,3,1
58,3,595,1,28.5,0,0,215,7.2292,7,0,0
59,2,853,0,5.0,1,2,561,27.75,7,3,1
60,3,299,1,11.0,5,2,566,46.9,7,3,0
61,3,749,1,22.0,0,0,197,7.2292,7,0,0
62,1,385,0,38.0,0,0,32,80.0,1,1,1
63,1,337,1,45.0,1,0,457,83.475,2,3,0
64,3,755,1,4.0,3,2,337,27.9,7,3,0
65,1,784,1,29.69911764705882,0,0,601,27.7208,7,0,0
